[18:30:48.456] [INFO   ] thread main starting.
[18:30:48.466] [SEVERE ] cannot read configuration file config.properties trying from resources.
[18:30:48.471] [SEVERE ] configuration file was loaded from resources directory.
[18:30:51.578] [SEVERE ] updating countdown to -91000
[18:30:51.578] [SEVERE ] updating countdown to -92000
[18:30:51.586] [SEVERE ] updating countdown to -93000
[18:30:51.586] [SEVERE ] updating countdown to -94000
[18:30:51.586] [SEVERE ] updating countdown to -95000
[18:30:51.586] [SEVERE ] updating countdown to -96000
[18:30:51.586] [SEVERE ] updating countdown to -97000
[18:30:51.586] [SEVERE ] updating countdown to -98000
[18:30:51.586] [SEVERE ] updating countdown to -99000
[18:30:51.594] [SEVERE ] updating countdown to -100000
[18:30:51.594] [SEVERE ] updating countdown to -101000
[18:30:51.596] [SEVERE ] updating countdown to -102000
[18:30:51.596] [SEVERE ] updating countdown to -103000
[18:30:51.596] [SEVERE ] updating countdown to -104000
[18:30:51.596] [SEVERE ] updating countdown to -105000
[18:30:51.596] [SEVERE ] updating countdown to -106000
[18:30:51.596] [SEVERE ] updating countdown to -107000
[18:30:51.596] [SEVERE ] updating countdown to -108000
[18:30:51.602] [SEVERE ] updating countdown to -109000
[18:30:51.602] [SEVERE ] updating countdown to -110000
[18:30:51.602] [SEVERE ] updating countdown to -111000
[18:30:51.605] [SEVERE ] updating countdown to -112000
[18:30:51.605] [SEVERE ] updating countdown to -113000
[18:30:51.605] [SEVERE ] updating countdown to -114000
[18:30:51.605] [SEVERE ] updating countdown to -115000
[18:30:51.610] [SEVERE ] updating countdown to -116000
[18:30:51.610] [SEVERE ] updating countdown to -117000
[18:30:51.610] [SEVERE ] updating countdown to -118000
[18:30:51.610] [SEVERE ] updating countdown to -119000
[18:30:51.610] [SEVERE ] updating countdown to -120000
[18:30:51.615] [SEVERE ] updating countdown to -121000
[18:30:51.615] [SEVERE ] updating countdown to -122000
[18:30:51.618] [SEVERE ] updating countdown to -123000
[18:30:51.618] [SEVERE ] updating countdown to -124000
[18:30:51.618] [SEVERE ] updating countdown to -125000
[18:30:51.618] [SEVERE ] updating countdown to -126000
[18:30:51.618] [SEVERE ] updating countdown to -127000
[18:30:51.618] [SEVERE ] updating countdown to -128000
[18:30:51.626] [SEVERE ] updating countdown to -129000
[18:30:51.626] [SEVERE ] updating countdown to -130000
[18:30:51.626] [SEVERE ] updating countdown to -131000
[18:30:51.626] [SEVERE ] updating countdown to -132000
[18:30:51.626] [SEVERE ] updating countdown to -133000
[18:30:51.626] [SEVERE ] updating countdown to -134000
[18:30:51.626] [SEVERE ] updating countdown to -135000
[18:30:51.634] [SEVERE ] updating countdown to -136000
[18:30:51.634] [SEVERE ] updating countdown to -137000
[18:30:51.634] [SEVERE ] updating countdown to -138000
[18:30:51.636] [SEVERE ] updating countdown to -139000
[18:30:51.636] [SEVERE ] updating countdown to -140000
[18:30:51.636] [SEVERE ] updating countdown to -141000
[18:30:51.636] [SEVERE ] updating countdown to -142000
[18:30:51.636] [SEVERE ] updating countdown to -143000
[18:30:51.642] [SEVERE ] updating countdown to -144000
[18:30:51.642] [SEVERE ] updating countdown to -145000
[18:30:51.642] [SEVERE ] updating countdown to -146000
[18:30:51.646] [SEVERE ] updating countdown to -147000
[18:30:51.646] [SEVERE ] updating countdown to -148000
[18:30:51.646] [SEVERE ] updating countdown to -149000
[18:30:51.646] [SEVERE ] updating countdown to -150000
[18:30:51.650] [SEVERE ] updating countdown to -151000
[18:30:51.650] [SEVERE ] updating countdown to -152000
[18:30:51.650] [SEVERE ] updating countdown to -153000
[18:30:51.650] [SEVERE ] updating countdown to -154000
[18:30:51.656] [SEVERE ] updating countdown to -155000
[18:30:51.658] [SEVERE ] updating countdown to -156000
[18:30:51.658] [SEVERE ] updating countdown to -157000
[18:30:51.658] [SEVERE ] updating countdown to -158000
[18:30:51.658] [SEVERE ] updating countdown to -159000
[18:30:51.658] [SEVERE ] updating countdown to -160000
[18:30:51.666] [SEVERE ] updating countdown to -161000
[18:30:51.666] [SEVERE ] updating countdown to -162000
[18:30:51.666] [SEVERE ] updating countdown to -163000
[18:30:51.666] [SEVERE ] updating countdown to -164000
[18:30:51.666] [SEVERE ] updating countdown to -165000
[18:30:51.666] [SEVERE ] updating countdown to -166000
[18:30:51.674] [SEVERE ] updating countdown to -167000
[18:30:51.674] [SEVERE ] updating countdown to -168000
[18:30:51.676] [SEVERE ] updating countdown to -169000
[18:30:51.676] [SEVERE ] updating countdown to -170000
[18:30:51.676] [SEVERE ] updating countdown to -171000
[18:30:51.676] [SEVERE ] updating countdown to -172000
[18:30:51.676] [SEVERE ] updating countdown to -173000
[18:30:51.682] [SEVERE ] updating countdown to -174000
[18:30:51.682] [SEVERE ] updating countdown to -175000
[18:30:51.682] [SEVERE ] updating countdown to -176000
[18:30:51.686] [SEVERE ] updating countdown to -177000
[18:30:51.686] [SEVERE ] updating countdown to -178000
[18:30:51.690] [SEVERE ] updating countdown to -179000
[18:30:51.690] [SEVERE ] updating countdown to -180000
[18:30:51.690] [SEVERE ] updating countdown to -181000
[18:30:51.690] [SEVERE ] updating countdown to -182000
[18:30:51.696] [SEVERE ] updating countdown to -183000
[18:30:51.696] [SEVERE ] updating countdown to -184000
[18:30:51.698] [SEVERE ] updating countdown to -185000
[18:30:51.698] [SEVERE ] updating countdown to -186000
[18:30:51.698] [SEVERE ] updating countdown to -187000
[18:30:51.698] [SEVERE ] updating countdown to -188000
[18:30:51.698] [SEVERE ] updating countdown to -189000
[18:30:51.706] [SEVERE ] updating countdown to -190000
[18:30:51.706] [SEVERE ] updating countdown to -191000
[18:30:51.706] [SEVERE ] updating countdown to -192000
[18:30:51.710] [SEVERE ] updating countdown to -193000
[18:30:51.710] [SEVERE ] updating countdown to -194000
[18:30:51.710] [SEVERE ] updating countdown to -195000
[18:30:51.713] [SEVERE ] updating countdown to -196000
[18:30:51.713] [SEVERE ] updating countdown to -197000
[18:30:51.715] [SEVERE ] updating countdown to -198000
[18:30:51.715] [SEVERE ] updating countdown to -199000
[18:30:51.715] [SEVERE ] updating countdown to -200000
[18:30:51.715] [SEVERE ] updating countdown to -201000
[18:30:51.715] [SEVERE ] updating countdown to -202000
[18:30:51.722] [SEVERE ] updating countdown to -203000
[18:30:51.722] [SEVERE ] updating countdown to -204000
[18:30:51.722] [SEVERE ] updating countdown to -205000
[18:30:51.725] [SEVERE ] updating countdown to -206000
[18:30:51.725] [SEVERE ] updating countdown to -207000
[18:30:51.725] [SEVERE ] updating countdown to -208000
[18:30:51.725] [SEVERE ] updating countdown to -209000
[18:30:51.730] [SEVERE ] updating countdown to -210000
[18:30:51.732] [SEVERE ] updating countdown to -211000
[18:30:51.732] [SEVERE ] updating countdown to -212000
[18:30:51.736] [SEVERE ] updating countdown to -213000
[18:30:51.736] [SEVERE ] updating countdown to -214000
[18:30:51.738] [SEVERE ] updating countdown to -215000
[18:30:51.738] [SEVERE ] updating countdown to -216000
[18:30:51.738] [SEVERE ] updating countdown to -217000
[18:30:51.738] [SEVERE ] updating countdown to -218000
[18:30:51.738] [SEVERE ] updating countdown to -219000
[18:30:51.738] [SEVERE ] updating countdown to -220000
[18:30:51.747] [SEVERE ] updating countdown to -221000
[18:30:51.747] [SEVERE ] updating countdown to -222000
[18:30:51.747] [SEVERE ] updating countdown to -223000
[18:30:51.747] [SEVERE ] updating countdown to -224000
[18:30:51.747] [SEVERE ] updating countdown to -225000
[18:30:51.747] [SEVERE ] updating countdown to -226000
[18:30:51.747] [SEVERE ] updating countdown to -227000
[18:30:51.755] [SEVERE ] updating countdown to -228000
[18:30:51.755] [SEVERE ] updating countdown to -229000
[18:30:51.758] [SEVERE ] updating countdown to -230000
[18:30:51.758] [SEVERE ] updating countdown to -231000
[18:30:51.758] [SEVERE ] updating countdown to -232000
[18:30:51.758] [SEVERE ] updating countdown to -233000
[18:30:51.763] [SEVERE ] updating countdown to -234000
[18:30:51.763] [SEVERE ] updating countdown to -235000
[18:30:51.763] [SEVERE ] updating countdown to -236000
[18:30:51.766] [SEVERE ] updating countdown to -237000
[18:30:51.766] [SEVERE ] updating countdown to -238000
[18:30:51.766] [SEVERE ] updating countdown to -239000
[18:30:51.766] [SEVERE ] updating countdown to -240000
[18:30:51.771] [SEVERE ] updating countdown to -241000
[18:30:51.771] [SEVERE ] updating countdown to -242000
[18:30:51.771] [SEVERE ] updating countdown to -243000
[18:30:51.771] [SEVERE ] updating countdown to -244000
[18:30:51.776] [SEVERE ] updating countdown to -245000
[18:30:51.776] [SEVERE ] updating countdown to -246000
[18:30:51.776] [SEVERE ] updating countdown to -247000
[18:30:51.780] [SEVERE ] updating countdown to -248000
[18:30:51.780] [SEVERE ] updating countdown to -249000
[18:30:51.780] [SEVERE ] updating countdown to -250000
[18:30:51.780] [SEVERE ] updating countdown to -251000
[18:30:51.780] [SEVERE ] updating countdown to -252000
[18:30:51.785] [SEVERE ] updating countdown to -253000
[18:30:51.787] [SEVERE ] updating countdown to -254000
[18:30:51.787] [SEVERE ] updating countdown to -255000
[18:30:51.787] [SEVERE ] updating countdown to -256000
[18:30:51.787] [SEVERE ] updating countdown to -257000
[18:30:51.787] [SEVERE ] updating countdown to -258000
[18:30:51.787] [SEVERE ] updating countdown to -259000
[18:30:51.787] [SEVERE ] updating countdown to -260000
[18:30:51.795] [SEVERE ] updating countdown to -261000
[18:30:51.795] [SEVERE ] updating countdown to -262000
[18:30:51.795] [SEVERE ] updating countdown to -263000
[18:30:51.800] [SEVERE ] updating countdown to -264000
[18:30:51.800] [SEVERE ] updating countdown to -265000
[18:30:51.800] [SEVERE ] updating countdown to -266000
[18:30:51.804] [SEVERE ] updating countdown to -267000
[18:30:51.804] [SEVERE ] updating countdown to -268000
[18:30:51.806] [SEVERE ] updating countdown to -269000
[18:30:51.806] [SEVERE ] updating countdown to -270000
[18:30:51.806] [SEVERE ] updating countdown to -271000
[18:30:51.806] [SEVERE ] updating countdown to -272000
[18:30:51.812] [SEVERE ] updating countdown to -273000
[18:30:51.812] [SEVERE ] updating countdown to -274000
[18:30:51.812] [SEVERE ] updating countdown to -275000
[18:30:51.812] [SEVERE ] updating countdown to -276000
[18:30:51.816] [SEVERE ] updating countdown to -277000
[18:30:51.816] [SEVERE ] updating countdown to -278000
[18:30:51.816] [SEVERE ] updating countdown to -279000
[18:30:51.816] [SEVERE ] updating countdown to -280000
[18:30:51.821] [SEVERE ] updating countdown to -281000
[18:30:51.822] [SEVERE ] updating countdown to -282000
[18:30:51.823] [SEVERE ] updating countdown to -283000
[18:30:51.825] [SEVERE ] updating countdown to -284000
[18:30:51.825] [SEVERE ] updating countdown to -285000
[18:30:51.828] [SEVERE ] updating countdown to -286000
[18:30:51.829] [SEVERE ] updating countdown to -287000
[18:30:51.829] [SEVERE ] updating countdown to -288000
[18:30:51.829] [SEVERE ] updating countdown to -289000
[18:30:51.829] [SEVERE ] updating countdown to -290000
[18:30:51.829] [SEVERE ] updating countdown to -291000
[18:30:51.829] [SEVERE ] updating countdown to -292000
[18:30:51.829] [SEVERE ] updating countdown to -293000
[18:30:51.836] [SEVERE ] updating countdown to -294000
[18:30:51.836] [SEVERE ] updating countdown to -295000
[18:30:51.836] [SEVERE ] updating countdown to -296000
[18:30:51.836] [SEVERE ] updating countdown to -297000
[18:30:51.836] [SEVERE ] updating countdown to -298000
[18:30:51.836] [SEVERE ] updating countdown to -299000
[18:30:51.836] [SEVERE ] updating countdown to -300000
[18:30:51.844] [SEVERE ] updating countdown to -301000
[18:30:51.845] [SEVERE ] updating countdown to -302000
[18:30:51.845] [SEVERE ] updating countdown to -303000
[18:30:51.845] [SEVERE ] updating countdown to -304000
[18:30:51.845] [SEVERE ] updating countdown to -305000
[18:30:51.845] [SEVERE ] updating countdown to -306000
[18:30:51.845] [SEVERE ] updating countdown to -307000
[18:30:51.845] [SEVERE ] updating countdown to -308000
[18:30:51.845] [SEVERE ] updating countdown to -309000
[18:30:51.853] [SEVERE ] updating countdown to -310000
[18:30:51.853] [SEVERE ] updating countdown to -311000
[18:30:51.856] [SEVERE ] updating countdown to -312000
[18:30:51.856] [SEVERE ] updating countdown to -313000
[18:30:51.858] [SEVERE ] updating countdown to -314000
[18:30:51.858] [SEVERE ] updating countdown to -315000
[18:30:51.858] [SEVERE ] updating countdown to -316000
[18:30:51.861] [SEVERE ] updating countdown to -317000
[18:30:51.861] [SEVERE ] updating countdown to -318000
[18:30:51.861] [SEVERE ] updating countdown to -319000
[18:30:51.861] [SEVERE ] updating countdown to -320000
[18:30:51.861] [SEVERE ] updating countdown to -321000
[18:30:51.866] [SEVERE ] updating countdown to -322000
[18:30:51.866] [SEVERE ] updating countdown to -323000
[18:30:51.866] [SEVERE ] updating countdown to -324000
[18:30:51.869] [SEVERE ] updating countdown to -325000
[18:30:51.869] [SEVERE ] updating countdown to -326000
[18:30:51.869] [SEVERE ] updating countdown to -327000
[18:30:51.869] [SEVERE ] updating countdown to -328000
[18:30:51.869] [SEVERE ] updating countdown to -329000
[18:30:51.869] [SEVERE ] updating countdown to -330000
[18:30:51.869] [SEVERE ] updating countdown to -331000
[18:30:51.876] [SEVERE ] updating countdown to -332000
[18:30:51.877] [SEVERE ] updating countdown to -333000
[18:30:51.877] [SEVERE ] updating countdown to -334000
[18:30:51.877] [SEVERE ] updating countdown to -335000
[18:30:51.877] [SEVERE ] updating countdown to -336000
[18:30:51.877] [SEVERE ] updating countdown to -337000
[18:30:51.877] [SEVERE ] updating countdown to -338000
[18:30:51.877] [SEVERE ] updating countdown to -339000
[18:30:51.877] [SEVERE ] updating countdown to -340000
[18:30:51.877] [SEVERE ] updating countdown to -341000
[18:30:51.877] [SEVERE ] updating countdown to -342000
[18:30:51.886] [SEVERE ] updating countdown to -343000
[18:30:51.886] [SEVERE ] updating countdown to -344000
[18:30:51.886] [SEVERE ] updating countdown to -345000
[18:30:51.886] [SEVERE ] updating countdown to -346000
[18:30:51.886] [SEVERE ] updating countdown to -347000
[18:30:51.886] [SEVERE ] updating countdown to -348000
[18:30:51.886] [SEVERE ] updating countdown to -349000
[18:30:51.893] [SEVERE ] updating countdown to -350000
[18:30:51.893] [SEVERE ] updating countdown to -351000
[18:30:51.895] [SEVERE ] updating countdown to -352000
[18:30:51.895] [SEVERE ] updating countdown to -353000
[18:30:51.895] [SEVERE ] updating countdown to -354000
[18:30:51.895] [SEVERE ] updating countdown to -355000
[18:30:51.895] [SEVERE ] updating countdown to -356000
[18:30:51.900] [SEVERE ] updating countdown to -357000
[18:30:51.902] [SEVERE ] updating countdown to -358000
[18:30:51.902] [SEVERE ] updating countdown to -359000
[18:30:51.902] [SEVERE ] updating countdown to -360000
[18:30:51.906] [SEVERE ] updating countdown to -361000
[18:30:51.906] [SEVERE ] updating countdown to -362000
[18:30:51.906] [SEVERE ] updating countdown to -363000
[18:30:51.910] [SEVERE ] updating countdown to -364000
[18:30:51.910] [SEVERE ] updating countdown to -365000
[18:30:51.910] [SEVERE ] updating countdown to -366000
[18:30:51.910] [SEVERE ] updating countdown to -367000
[18:30:51.910] [SEVERE ] updating countdown to -368000
[18:30:51.910] [SEVERE ] updating countdown to -369000
[18:30:51.910] [SEVERE ] updating countdown to -370000
[18:30:51.916] [SEVERE ] updating countdown to -371000
[18:30:51.916] [SEVERE ] updating countdown to -372000
[18:30:51.918] [SEVERE ] updating countdown to -373000
[18:30:51.918] [SEVERE ] updating countdown to -374000
[18:30:51.918] [SEVERE ] updating countdown to -375000
[18:30:51.918] [SEVERE ] updating countdown to -376000
[18:30:51.918] [SEVERE ] updating countdown to -377000
[18:30:51.918] [SEVERE ] updating countdown to -378000
[18:30:51.926] [SEVERE ] updating countdown to -379000
[18:30:51.926] [SEVERE ] updating countdown to -380000
[18:30:51.926] [SEVERE ] updating countdown to -381000
[18:30:51.926] [SEVERE ] updating countdown to -382000
[18:30:51.926] [SEVERE ] updating countdown to -383000
[18:30:51.926] [SEVERE ] updating countdown to -384000
[18:30:51.926] [SEVERE ] updating countdown to -385000
[18:30:51.926] [SEVERE ] updating countdown to -386000
[18:30:51.926] [SEVERE ] updating countdown to -387000
[18:30:51.934] [SEVERE ] updating countdown to -388000
[18:30:51.934] [SEVERE ] updating countdown to -389000
[18:30:51.936] [SEVERE ] updating countdown to -390000
[18:30:51.936] [SEVERE ] updating countdown to -391000
[18:30:51.936] [SEVERE ] updating countdown to -392000
[18:30:51.936] [SEVERE ] updating countdown to -393000
[18:30:51.942] [SEVERE ] updating countdown to -394000
[18:30:51.942] [SEVERE ] updating countdown to -395000
[18:30:51.942] [SEVERE ] updating countdown to -396000
[18:30:51.942] [SEVERE ] updating countdown to -397000
[18:30:51.946] [SEVERE ] updating countdown to -398000
[18:30:51.946] [SEVERE ] updating countdown to -399000
[18:30:51.946] [SEVERE ] updating countdown to -400000
[18:30:51.946] [SEVERE ] updating countdown to -401000
[18:30:51.946] [SEVERE ] updating countdown to -402000
[18:30:51.946] [SEVERE ] updating countdown to -403000
[18:30:51.950] [SEVERE ] updating countdown to -404000
[18:30:51.950] [SEVERE ] updating countdown to -405000
[18:30:51.950] [SEVERE ] updating countdown to -406000
[18:30:51.950] [SEVERE ] updating countdown to -407000
[18:30:51.950] [SEVERE ] updating countdown to -408000
[18:30:51.956] [SEVERE ] updating countdown to -409000
[18:30:51.956] [SEVERE ] updating countdown to -410000
[18:30:51.958] [SEVERE ] updating countdown to -411000
[18:30:51.958] [SEVERE ] updating countdown to -412000
[18:30:51.958] [SEVERE ] updating countdown to -413000
[18:30:51.958] [SEVERE ] updating countdown to -414000
[18:30:51.958] [SEVERE ] updating countdown to -415000
[18:30:51.958] [SEVERE ] updating countdown to -416000
[18:30:51.958] [SEVERE ] updating countdown to -417000
[18:30:51.958] [SEVERE ] updating countdown to -418000
[18:30:51.965] [SEVERE ] updating countdown to -419000
[18:30:51.966] [SEVERE ] updating countdown to -420000
[18:30:51.966] [SEVERE ] updating countdown to -421000
[18:30:51.966] [SEVERE ] updating countdown to -422000
[18:30:51.966] [SEVERE ] updating countdown to -423000
[18:30:51.966] [SEVERE ] updating countdown to -424000
[18:30:51.966] [SEVERE ] updating countdown to -425000
[18:30:51.966] [SEVERE ] updating countdown to -426000
[18:30:51.976] [SEVERE ] updating countdown to -427000
[18:30:51.976] [SEVERE ] updating countdown to -428000
[18:30:51.976] [SEVERE ] updating countdown to -429000
[18:30:51.976] [SEVERE ] updating countdown to -430000
[18:30:52.015] [SEVERE ] updating countdown to -431000
[18:30:52.036] [SEVERE ] updating countdown to -432000
[18:30:52.036] [SEVERE ] updating countdown to -433000
[18:30:52.040] [SEVERE ] updating countdown to -434000
[18:30:52.041] [SEVERE ] updating countdown to -435000
[18:30:52.041] [SEVERE ] updating countdown to -436000
[18:30:52.041] [SEVERE ] updating countdown to -437000
[18:30:52.041] [SEVERE ] updating countdown to -438000
[18:30:52.041] [SEVERE ] updating countdown to -439000
[18:30:52.045] [SEVERE ] updating countdown to -440000
[18:30:52.045] [SEVERE ] updating countdown to -441000
[18:30:52.048] [SEVERE ] updating countdown to -442000
[18:30:52.049] [SEVERE ] updating countdown to -443000
[18:30:52.049] [SEVERE ] updating countdown to -444000
[18:30:52.049] [SEVERE ] updating countdown to -445000
[18:30:52.049] [SEVERE ] updating countdown to -446000
[18:30:52.049] [SEVERE ] updating countdown to -447000
[18:30:52.049] [SEVERE ] updating countdown to -448000
[18:30:52.056] [SEVERE ] updating countdown to -449000
[18:30:52.056] [SEVERE ] updating countdown to -450000
[18:30:52.058] [SEVERE ] updating countdown to -451000
[18:30:52.058] [SEVERE ] updating countdown to -452000
[18:30:52.058] [SEVERE ] updating countdown to -453000
[18:30:52.058] [SEVERE ] updating countdown to -454000
[18:30:52.058] [SEVERE ] updating countdown to -455000
[18:30:52.064] [SEVERE ] updating countdown to -456000
[18:30:52.065] [SEVERE ] updating countdown to -457000
[18:30:52.065] [SEVERE ] updating countdown to -458000
[18:30:52.065] [SEVERE ] updating countdown to -459000
[18:30:52.065] [SEVERE ] updating countdown to -460000
[18:30:52.070] [SEVERE ] updating countdown to -461000
[18:30:52.072] [SEVERE ] updating countdown to -462000
[18:30:52.072] [SEVERE ] updating countdown to -463000
[18:30:52.076] [SEVERE ] updating countdown to -464000
[18:30:52.076] [SEVERE ] updating countdown to -465000
[18:30:52.076] [SEVERE ] updating countdown to -466000
[18:30:52.076] [SEVERE ] updating countdown to -467000
[18:30:52.076] [SEVERE ] updating countdown to -468000
[18:30:52.080] [SEVERE ] updating countdown to -469000
[18:30:52.080] [SEVERE ] updating countdown to -470000
[18:30:52.080] [SEVERE ] updating countdown to -471000
[18:30:52.080] [SEVERE ] updating countdown to -472000
[18:30:52.080] [SEVERE ] updating countdown to -473000
[18:30:52.080] [SEVERE ] updating countdown to -474000
[18:30:52.085] [SEVERE ] updating countdown to -475000
[18:30:52.088] [SEVERE ] updating countdown to -476000
[18:30:52.088] [SEVERE ] updating countdown to -477000
[18:30:52.088] [SEVERE ] updating countdown to -478000
[18:30:52.088] [SEVERE ] updating countdown to -479000
[18:30:52.088] [SEVERE ] updating countdown to -480000
[18:30:52.088] [SEVERE ] updating countdown to -481000
[18:30:52.088] [SEVERE ] updating countdown to -482000
[18:30:52.096] [SEVERE ] updating countdown to -483000
[18:30:52.096] [SEVERE ] updating countdown to -484000
[18:30:52.096] [SEVERE ] updating countdown to -485000
[18:30:52.100] [SEVERE ] updating countdown to -486000
[18:30:52.100] [SEVERE ] updating countdown to -487000
